Number,Page_Name,Category,Project,File_Path,Status,URL
48,variant-v5,Marketing/Landing,SpotFunnel,(marketing)\variants\v5,✅ LIVE,http://localhost:3000/marketing/variants/v5
49,variant-v6,Marketing/Landing,SpotFunnel,(marketing)\variants\v6,✅ LIVE,http://localhost:3000/marketing/variants/v6
50,variant-v7,Marketing/Landing,SpotFunnel,(marketing)\variants\v7,✅ LIVE,http://localhost:3000/marketing/variants/v7
51,variant-v8,Marketing/Landing,SpotFunnel,(marketing)\variants\v8,✅ LIVE,http://localhost:3000/marketing/variants/v8
52,variant-v9,Marketing/Landing,SpotFunnel,(marketing)\variants\v9,✅ LIVE,http://localhost:3000/marketing/variants/v9
53,voice-showcase,Marketing/Landing,SpotFunnel,(marketing)\voice-showcase,✅ LIVE,http://localhost:3000/marketing/voice-showcase
54,concepts,Other,SpotFunnel,concepts,✅ LIVE,http://localhost:3000/concepts
55,d1,Dashboard Variant,SpotFunnel,dashboard-variants\d1,✅ LIVE,http://localhost:3000/dashboard-variants/d1
56,d10,Dashboard Variant,SpotFunnel,dashboard-variants\d10,✅ LIVE,http://localhost:3000/dashboard-variants/d10
57,d2,Dashboard Variant,SpotFunnel,dashboard-variants\d2,✅ LIVE,http://localhost:3000/dashboard-variants/d2
58,d3,Dashboard Variant,SpotFunnel,dashboard-variants\d3,✅ LIVE,http://localhost:3000/dashboard-variants/d3
59,d4,Dashboard Variant,SpotFunnel,dashboard-variants\d4,✅ LIVE,http://localhost:3000/dashboard-variants/d4
60,d5,Dashboard Variant,SpotFunnel,dashboard-variants\d5,✅ LIVE,http://localhost:3000/dashboard-variants/d5
61,d6,Dashboard Variant,SpotFunnel,dashboard-variants\d6,✅ LIVE,http://localhost:3000/dashboard-variants/d6
62,d7,Dashboard Variant,SpotFunnel,dashboard-variants\d7,✅ LIVE,http://localhost:3000/dashboard-variants/d7
63,d8,Dashboard Variant,SpotFunnel,dashboard-variants\d8,✅ LIVE,http://localhost:3000/dashboard-variants/d8
64,d9,Dashboard Variant,SpotFunnel,dashboard-variants\d9,✅ LIVE,http://localhost:3000/dashboard-variants/d9
65,future-dashboard,Dashboard Variant,SpotFunnel,dashboard-variants\future,✅ LIVE,http://localhost:3000/dashboard-variants/future
66,future-black-dashboard,Dashboard Variant,SpotFunnel,dashboard-variants\future-black,✅ LIVE,http://localhost:3000/dashboard-variants/future-black
67,sonic-blue-dashboard,Dashboard Variant,SpotFunnel,dashboard-variants\sonic-blue,✅ LIVE,http://localhost:3000/dashboard-variants/sonic-blue
68,login,Other,SpotFunnel,login,✅ LIVE,http://localhost:3000/login
69,marketing-variants-index,Marketing Variant,SpotFunnel,marketing-variants,✅ LIVE,http://localhost:3000/marketing-variants
70,future-black-marketing,Marketing Variant,SpotFunnel,marketing-variants\future-black,✅ LIVE,http://localhost:3000/marketing-variants/future-black
71,sonic-blue-marketing,Marketing Variant,SpotFunnel,marketing-variants\sonic-blue,✅ LIVE,http://localhost:3000/marketing-variants/sonic-blue
72,v10-future,Marketing Variant,SpotFunnel,marketing-variants\v10-future,✅ LIVE,http://localhost:3000/marketing-variants/v10-future
73,v11-dashboard,Marketing Variant,SpotFunnel,marketing-variants\v11-dashboard,✅ LIVE,http://localhost:3000/marketing-variants/v11-dashboard
74,v11-masterpiece,Marketing Variant,SpotFunnel,marketing-variants\v11-masterpiece,✅ LIVE,http://localhost:3000/marketing-variants/v11-masterpiece
75,v12a-timeless,Marketing Variant,SpotFunnel,marketing-variants\v12a-timeless,✅ LIVE,http://localhost:3000/marketing-variants/v12a-timeless
76,v12b-exciting,Marketing Variant,SpotFunnel,marketing-variants\v12b-exciting,✅ LIVE,http://localhost:3000/marketing-variants/v12b-exciting
77,v12c-voice,Marketing Variant,SpotFunnel,marketing-variants\v12c-voice,✅ LIVE,http://localhost:3000/marketing-variants/v12c-voice
78,v13-simple,Marketing Variant,SpotFunnel,marketing-variants\v13-simple,✅ LIVE,http://localhost:3000/marketing-variants/v13-simple
79,v14-engine,Marketing Variant,SpotFunnel,marketing-variants\v14-engine,✅ LIVE,http://localhost:3000/marketing-variants/v14-engine
80,v15-masterpiece,Marketing Variant,SpotFunnel,marketing-variants\v15-masterpiece,✅ LIVE,http://localhost:3000/marketing-variants/v15-masterpiece
81,v16-living-masterpiece,Marketing Variant,SpotFunnel,marketing-variants\v16-living-masterpiece,✅ LIVE,http://localhost:3000/marketing-variants/v16-living-masterpiece
82,v17-copy-masterpiece,Marketing Variant,SpotFunnel,marketing-variants\v17-copy-masterpiece,✅ LIVE,http://localhost:3000/marketing-variants/v17-copy-masterpiece
83,v18-full-masterpiece,Marketing Variant,SpotFunnel,marketing-variants\v18-full-masterpiece,✅ LIVE,http://localhost:3000/marketing-variants/v18-full-masterpiece
84,v1-signal,Marketing Variant,SpotFunnel,marketing-variants\v1-signal,✅ LIVE,http://localhost:3000/marketing-variants/v1-signal
85,v2-industrial,Marketing Variant,SpotFunnel,marketing-variants\v2-industrial,✅ LIVE,http://localhost:3000/marketing-variants/v2-industrial
86,v3-ledger,Marketing Variant,SpotFunnel,marketing-variants\v3-ledger,✅ LIVE,http://localhost:3000/marketing-variants/v3-ledger
87,v4-human,Marketing Variant,SpotFunnel,marketing-variants\v4-human,✅ LIVE,http://localhost:3000/marketing-variants/v4-human
88,v5-nightops,Marketing Variant,SpotFunnel,marketing-variants\v5-nightops,✅ LIVE,http://localhost:3000/marketing-variants/v5-nightops
89,v6-blueprint,Marketing Variant,SpotFunnel,marketing-variants\v6-blueprint,✅ LIVE,http://localhost:3000/marketing-variants/v6-blueprint
90,v7-executive,Marketing Variant,SpotFunnel,marketing-variants\v7-executive,✅ LIVE,http://localhost:3000/marketing-variants/v7-executive
91,v8-terminal,Marketing Variant,SpotFunnel,marketing-variants\v8-terminal,✅ LIVE,http://localhost:3000/marketing-variants/v8-terminal
92,v9-calm,Marketing Variant,SpotFunnel,marketing-variants\v9-calm,✅ LIVE,http://localhost:3000/marketing-variants/v9-calm
93,onboarding,Other,SpotFunnel,onboarding,✅ LIVE,http://localhost:3000/onboarding
94,pairs,Other,SpotFunnel,pairs,✅ LIVE,http://localhost:3000/pairs
95,revolution,Other,SpotFunnel,revolution,✅ LIVE,http://localhost:3000/revolution
96,test,Other,SpotFunnel,test,✅ LIVE,http://localhost:3000/test
97,test-glass,Other,SpotFunnel,test-glass,✅ LIVE,http://localhost:3000/test-glass
98,test-orb,Other,SpotFunnel,test-orb,✅ LIVE,http://localhost:3000/test-orb
99,test-simple,Other,SpotFunnel,test-simple,✅ LIVE,http://localhost:3000/test-simple
100,onyx-demo,Marketing/Landing,Onyx,onyx-demo\index.html,✅ LIVE,file:///c:/Users/leoge/OneDrive/Documents/AI%20Activity/antigravity/UI%20Designer/onyx-demo/index.html
